Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:32:09:07.867,61,0.0491091609,0.2114743441,0.0722227991,0.0000000000,0.0000000000,0.0589169897,0.0000000000,0.0492219515,0.2114068270,0.0460205376,0.0000000000,0.0000000000,0.0587377660,0.0000000000,0.0979372710,0.0000000000,0.0549999066,0.0897284821,0.0897284821,0.0599367656,0.0553947575,0.0000000000,0.1003431007,0.0866514146,0.1020596921,0.0000000000,0.0000000000,0.0889421180,0.0932872966,0.1183094308,0.1508343369,0.0914164409,0.0589351691,0.1038303971,0.1562697887,0.0706269965,0.0700305328,0.1036110893,0.1220369563,0.0516033694,0.0574872531,0.2881341279,0.2883445024,0.0465783365,0.0000000000,0.0000000000,0.0235918034,0.1106129289,0.0997450501,0.1818274558,0.1767807603,0.0019119763,0.0000000000,0.0000000000,0.0000000000,-0.0278781932,0.1291915625,-0.0036213147,0.0437505580,0.1293067783,0.0056871092
00:32:09:08.868,61,0.0468161702,0.2108327001,0.0729303360,0.0000000000,0.0000000000,0.0585258938,0.0000000000,0.0469818301,0.2107716203,0.0453125425,0.0000000000,0.0000000000,0.0583454520,0.0000000000,0.0980409980,0.0000000000,0.0557412952,0.0899977684,0.0899977684,0.0597635359,0.0553329587,0.0000000000,0.1019812822,0.0820155740,0.0996525437,0.0000000000,0.0000000000,0.0890243948,0.0933924615,0.1179086268,0.1507316530,0.0917974338,0.0590850785,0.1040516198,0.1564223766,0.0705246478,0.0699550807,0.1033418402,0.1217315346,0.0516703762,0.0575826950,0.2875502110,0.2877649963,0.0465035513,0.0000000000,0.0000000000,0.0234307405,0.1102657616,0.0993592814,0.1816423982,0.1764018685,0.0016306808,0.0000000000,0.0000000000,0.0000000000,-0.0274506900,0.1288018376,-0.0035549214,0.0441814065,0.1289168894,0.0057255691
00:32:09:09.868,61,0.0460173711,0.2096360475,0.0739749521,0.0000000000,0.0000000000,0.0586740971,0.0000000000,0.0461889990,0.2095839530,0.0442455821,0.0000000000,0.0000000000,0.0584942736,0.0000000000,0.0977147073,0.0000000000,0.0303439200,0.0904053897,0.0904053897,0.0599605963,0.0555060729,0.0000000000,0.0546910502,0.0805258453,0.0991989076,0.0000000000,0.0000000000,0.0887775868,0.0931188464,0.1177425012,0.1498137116,0.0916208476,0.0590921417,0.1036385596,0.1566190869,0.0701994821,0.0696223006,0.1031497791,0.1213148832,0.0517140478,0.0575512238,0.2874974310,0.2877096832,0.0466310866,0.0000000000,0.0000000000,0.0232910104,0.1103137583,0.0994200557,0.1814807206,0.1762058586,0.0007730085,0.0000000000,0.0000000000,0.0000000000,-0.0268068295,0.1280738115,-0.0034517215,0.0448184572,0.1281888485,0.0057749050
00:32:09:10.869,61,0.0453952737,0.2096071690,0.0734781772,0.0000000000,0.0000000000,0.0586220324,0.0000000000,0.0455651358,0.2095505744,0.0447264798,0.0000000000,0.0000000000,0.0584454760,0.0000000000,0.0973482281,0.0000000000,0.0235289652,0.0911315978,0.0911315978,0.0603150539,0.0558434501,0.0000000000,0.0428060666,0.0787657872,0.0984791294,0.0000000000,0.0000000000,0.0884622261,0.0927340910,0.1175286025,0.1471359730,0.0916321948,0.0592300519,0.1030741632,0.1568539590,0.0698075518,0.0692484304,0.1029533669,0.1208052188,0.0517115295,0.0574316010,0.2855881453,0.2857810855,0.0469622165,0.0000000000,0.0000000000,0.0231931247,0.1100516543,0.0992396846,0.1811452210,0.1758749783,0.0006891382,0.0000000000,0.0000000000,0.0000000000,-0.0270982571,0.1280544251,-0.0034887036,0.0445175879,0.1281694174,0.0057352865
00:32:09:11.870,61,0.0425481647,0.2087496817,0.0738219023,0.0000000000,0.0000000000,0.0584619157,0.0000000000,0.0426454097,0.2086958289,0.0443697535,0.0000000000,0.0000000000,0.0582891963,0.0000000000,0.0971662253,0.0000000000,0.0204556603,0.0917436630,0.0917436630,0.0604375750,0.0559815094,0.0000000000,0.0370893739,0.0778482035,0.0977314711,0.0000000000,0.0000000000,0.0882419795,0.0924537405,0.1167950854,0.1425639987,0.0919959396,0.0595718324,0.1026208773,0.1572249234,0.0694608688,0.0689047277,0.1025247723,0.1195789054,0.0516738594,0.0572700389,0.2798901796,0.2800511718,0.0473335758,0.0000000000,0.0000000000,0.0230944194,0.1093906835,0.0987409726,0.1799735874,0.1749114990,0.0010945221,0.0000000000,0.0000000000,0.0000000000,-0.0268839356,0.1275313795,-0.0034468255,0.0447288454,0.1276462972,0.0057387068
00:32:09:12.870,61,0.0412526578,0.2079685032,0.0741878003,0.0000000000,0.0000000000,0.0583122745,0.0000000000,0.0413289741,0.2079173774,0.0440111049,0.0000000000,0.0000000000,0.0581436045,0.0000000000,0.0971651897,0.0000000000,0.0187417101,0.0929889604,0.0929889604,0.0608233437,0.0561954677,0.0000000000,0.0355899222,0.0774317309,0.0976718217,0.0000000000,0.0000000000,0.0882329196,0.0923765004,0.1164539754,0.1407428086,0.0923741907,0.0600164980,0.1022146791,0.1578132510,0.0691940784,0.0686555952,0.1023555174,0.1189953536,0.0517568290,0.0572442040,0.2779364586,0.2780876458,0.0477025397,0.0000000000,0.0000000000,0.0229682699,0.1089643911,0.0984189436,0.1794382930,0.1744412929,0.0013676811,0.0000000000,0.0000000000,0.0000000000,-0.0266682487,0.1270549297,-0.0034062664,0.0449532866,0.1271699071,0.0057457243
00:32:09:13.871,61,0.0389700048,0.2062016428,0.0740391538,0.0000000000,0.0000000000,0.0581762753,0.0000000000,0.0390280597,0.2061485648,0.0441375785,0.0000000000,0.0000000000,0.0580114201,0.0000000000,0.0967130661,0.0000000000,0.0181296300,0.0934418663,0.0934418663,0.0611656681,0.0563493185,0.0000000000,0.0360374078,0.0768544078,0.0972367898,0.0000000000,0.0000000000,0.0879709721,0.0920605436,0.1161940768,0.1397126168,0.0922349319,0.0600033365,0.1018251106,0.1584499031,0.0687952936,0.0682598352,0.1019233540,0.1182022318,0.0518475473,0.0572379529,0.2767227590,0.2768695951,0.0480206348,0.0000000000,0.0000000000,0.0228464361,0.1084706187,0.0980261192,0.1789246649,0.1739984453,0.0017011110,0.0000000000,0.0000000000,0.0000000000,-0.0267485585,0.1259743124,-0.0033871531,0.0448693819,0.1260890216,0.0056857397
00:32:09:14.871,61,0.0384579338,0.2062375396,0.0728274286,0.0000000000,0.0000000000,0.0580107532,0.0000000000,0.0385072753,0.2061735392,0.0453246459,0.0000000000,0.0000000000,0.0578495897,0.0000000000,0.0957072526,0.0000000000,0.0175611190,0.0935034007,0.0935034007,0.0614409000,0.0564832054,0.0000000000,0.0376771502,0.0756968260,0.0968936458,0.0000000000,0.0000000000,0.0876816362,0.0916998386,0.1161435097,0.1391337514,0.0918136984,0.0597446300,0.1014284343,0.1589482129,0.0684065893,0.0678767562,0.1013939008,0.1172999665,0.0518937856,0.0572127439,0.2758079469,0.2759538591,0.0483071059,0.0000000000,0.0000000000,0.0228039138,0.1078947186,0.0976000279,0.1783635765,0.1735298485,0.0014675884,0.0000000000,0.0000000000,0.0000000000,-0.0274678972,0.1259920299,-0.0034787136,0.0441349298,0.1261068135,0.0055935336
00:32:09:15.872,61,0.0384663716,0.2057522088,0.0725657046,0.0000000000,0.0000000000,0.0579663292,0.0000000000,0.0385116488,0.2056854665,0.0456123687,0.0000000000,0.0000000000,0.0578058735,0.0000000000,0.0951566622,0.0000000000,0.0262850076,0.0927433521,0.0927433521,0.0614046752,0.0564924106,0.0000000000,0.0582668893,0.0692502335,0.0883966088,0.0000000000,0.0000000000,0.0874402598,0.0914359763,0.1161565259,0.1395418346,0.0912530869,0.0592989326,0.1015875563,0.1596255302,0.0683105215,0.0677592009,0.1007792577,0.1166222245,0.0519387312,0.0572615340,0.2778114676,0.2779702544,0.0482753217,0.0000000000,0.0000000000,0.0228295214,0.1074406132,0.0972166881,0.1780936718,0.1733337492,0.0009631691,0.0000000000,0.0000000000,0.0000000000,-0.0276433080,0.1256943941,-0.0034925644,0.0439779758,0.1258091778,0.0055603599
00:32:09:16.873,61,0.0383541435,0.2067390829,0.0726964176,0.0000000000,0.0000000000,0.0576307438,0.0000000000,0.0384255201,0.2066738904,0.0455015786,0.0000000000,0.0000000000,0.0574659184,0.0000000000,0.0949502364,0.0000000000,0.0681531951,0.0925792903,0.0925792903,0.0611213036,0.0565517098,0.0000000000,0.1561014801,0.0672946572,0.0858822018,0.0000000000,0.0000000000,0.0874029547,0.0914706662,0.1158368364,0.1430734992,0.0912758410,0.0591110475,0.1022602767,0.1601293683,0.0683343410,0.0678505003,0.1003990397,0.1163775250,0.0519403219,0.0573907830,0.2784989476,0.2786725760,0.0481343642,0.0000000000,0.0000000000,0.0227989890,0.1071147621,0.0969179273,0.1780797988,0.1731037050,0.0006553825,0.0000000000,0.0000000000,0.0000000000,-0.0275740605,0.1262981892,-0.0035007314,0.0440538302,0.1264130026,0.0055969637
